Artist	Title	Price	Slug
	19th Century Italian or Continental School		19th_century_italian_or_continental_school_still_life-html
	George Washington chromolithograph, American 19th century		george_washington_chromolithograph-html
Anthony "Tony" Henneberg (American)	Fox Sparrow	$800	anthony_henneberg_sparrow-html
James C. Groves (American)	Spring: Late Morning, Decker’s Creek	$1,900	james_c_groves_deckers_creek-html
Ferdinand Alexander Wust (Dutch-American,)	The Coming Storm		ferdinand_wust_storm-html
Gayle B. Tate (American 1944 - )	A Great American President – Lincoln	$600	gayle_b_tate_lincoln-html
Gayle B. Tate (American 1944 - )	A Great American President – Washington	$600	gayle_b_tate_washington-html
Gilbert Duran (American 1936 -     )	Hummingbird		gilbert_duran_hummingbird-html
John Paul Strain (American 1955 - )	sacred feathers	$6,000	john_paul_strain_feathers-html
John Paul Strain (American 1955 - )	FLAG DAY - CENTRAL PARK SOUTH	$6,000	john_paul_strain_flag-html
John Paul Strain (American 1955 - )	INDIAN WITH FAN IN LANDSCAPE	$6,500	john_paul_strain_indian-html
John Paul Strain (American 1955 - )	winter scouts	$8,000	john_paul_strain_scouts-html
Mark Daly (American 1956 - )	Blizzard on 42nd Street		mark_daly_blizzard-html
Michael Strueber (1945 - )	Summer Bouquet		michael_strueber_boquet-html
Michael Strueber (1945 - )	Calla Lilies	$1,800	michael_strueber_lilies-html
Michael Strueber (1945 - )	Magnolias	$1,800	michael_strueber_magnolias-html
Michael Strueber (1945 - )	White Peonies	$1,800	michael_strueber_peonies-html
Michael Strueber (1945 - )	Splendor in Pink and Blue	$1,800	michael_strueber_splendor-html
John Joseph Enneking (American 1841 -1916)	Gathering Cows	$4,900	john_joseph_enneking_cows-html
John Joseph Enneking (American 1841 -1916)	Landscape at Dusk	$4,800	john_joseph_enneking_dusk-html
John Joseph Enneking (American 1841 -1916)	White Water Stream		john_joseph_enneking_stream-html
John Joseph Enneking (American 1841 -1916)	Sails in Venice		john_joseph_enneking_venice-html
Henry John Boddington (British, 1811-1865)	Stepping Stones		henry_john_boddington_stones-html
William Penn Morgan (American 1826-1900)	Loves Me-Loves Me Not		william_penn_morgan_love-html
John Adams Parker (American 1829-1905)	Twilight in the Adirondacks		john_adams_parker_adirondacks-html
John Adams Parker (American 1829-1905)	Autumn View with Quiet River and Wooden Bridge at Dusk	$5,200	john_adams_parker_autumn-html
John Adams Parker (American 1829-1905)	Frozen Mill Pond with Figures		john_adams_parker_mill-html
John Adams Parker (American 1829-1905)	Winter Landscape in After Glow	$7,500	john_adams_parker_winter-html
Andrien-Louis Bruneau (French, born 1831)	Mice	$2,500	andrien_louis_bruneau_mice-html
John George Brown (American 1831-1913)	The Fruit Vendor		john_george_brown_vendor-html
George W. Drew (American, born 1833)	Still Life with Fruit, 1927		george_w_drew_fruit-html
Frederick Stone Batcheller (American 1837-1889)	Flowers in Victorian Vase	$7,500	frederick_stone_batcheller_flowers-html
Frederick Stone Batcheller (American 1837-1889)	Still-life with Fruit and Compote		frederick_stone_batcheller_fruit-html
Frederick Stone Batcheller (American 1837-1889)	Fruit Still Life	$5,500	frederick_stone_batcheller_fruit_still_life-html
Frederick Stone Batcheller (American 1837-1889)	Haystacks with Pumpkins	$3,600	frederick_stone_batcheller_haystacks-html
Frederick Stone Batcheller (American 1837-1889)	Basket of Strawberries in Landscape		frederick_stone_batcheller_strawberries-html
James L Adams (British 1847-1901)	Boulders along an English Stream	$4,000	james_l_adams_boulders-html
James Henry Moser (Canadian, 1854-1913)	Washington Monument and U.S. Capitol - 1898	$3,900	james_henry_moser_monument-html
Mary Augusta Hiester Reid (American/Canadian 1854-1921)	Daisies in Oriental Vase		mary_augusta_hester_reid_daisies-html
Abbot Fuller Graves (American, 1859-1936)	Fishing Boat in St. Ives Harbor, Cornwall, England		abbot_fuller_graves_fishing-html
Clarence Drew Bartlett (American, born 1863)	Portrait of Benjamin Franklin		clarence_drew_bartlett_franklin-html
William Guy Wall (American, 1792 - 1864)	A Sojourn Along the River		william_guy_wall_sojourn-html
Bernard Jacob Rosenmeyer (American, born 1867)	Napoleon		bernard_jacob_rosenmeyer_napoleon-html
Benjamin Cohen (American born 1869)	The Path to Glick’s		benjamin_cohen_path-html
Arthur V. Diehl (American, 1870-1929)	Sand Dune		arthur_v_diehl_dune-html
Thomas J. Fenimore (1842 - 1873)	River Scene with Boaters	$7,500	thomas_fenimore_river-html
Max H. Antlers (German-American 1873-1952)	Spirits of the Forest	$2,200	max_antlers_forest-html
Stephen Alke (American 1874-1941)	August Hay Bales		stephen_alke_august-html
John Wells Smith (British, fl. 1870 - 1875)	Pleasant Anticipations, 1882		john_wells_smith_anticipations-html
John William Hill (American 1812 - 1879)	Waterfall	$4,250	john_william_hill_waterfall-html
George Nelson Cass (American c. 1825 - 1882)	Fishermen at Sunrise	$4,000	george_nelson_cass_fisherman-html
Henry Collins Bispham (American, 1841 - 1882)	Misty Morning on the Lake	$8,100	henry_collins_bispham_lake-html
William Coventry Wall (American, 1810 - 1886)	Hudson River		william_coventry_wall_hudson-html
William Coventry Wall (American, 1810 - 1886)	Strolling along the River		william_coventry_wall_river-html
Exene Reed Meyersham (American 1886-1978)	Pink Roses in a Vase	$1,500	exene_reed_meyersham_roses-html
Felix Octavius Carr Darley (American 1822 - 1888)	Washington, Henry and Pendleton Going to the First Congress	$5,800	felix_octavious_carr_darley_washington-html
Henry Dutton Morse (American, 1826 - 1888)	Dog at the End of the Day		henry_dutton_morse_dog_day-html
Henry Dutton Morse (American, 1826 - 1888)	Spaniel and Horse		henry_dutton_morse_horse-html
Howard Hill (British 1822 - 1888)	Quail Decoying a Hunting Dog		howard_hill_quail-html
James Lobley (British, 1829 - 1888)	Remember the Poor	$2,200	james_lobley_poor-html
William Bromley III (English, active 1835 - 1888)	Genre Scene Boys with Bird’s Nest		william_bromley_III_boys-html
William Bromley III (English, active 1835 - 1888)	Genre Scene Boys Fishing		william_bromley_III_fishing-html
William Bromley III (English, active 1835 - 1888)	Genre Scene with Elegant Dressed Couple Walking in the Woods		william_bromley_III_genre-html
William Bromley III (English, active 1835 - 1888)	LEISURE HOURS		william_bromley_III_liesure-html
James Reed Lambdin (American, 1807 - 1889)	Portrait of George Washington		james_reed_lambdin_washington-html
